id,name,artist,release_date,popularity,genre
7tI8dRuH2Yc6RuoTjxo4dU,Who,Jimin,2024-07-19,91,pop
2plbrEY59IikOBgBGLjaoe,Die With A Smile,Lady Gaga,2024-08-16,100,pop
6dOtVTDdiauQNBQEDOtlAB,BIRDS OF A FEATHER,Billie Eilish,2024-05-17,97,pop
580BvW3DyUNoYFgQgoD2GI,Hold On,高爾宣 OSN,2024-06-14,64,pop
1aKvZDoLGkNMxoRYgkckZG,Magnetic,ILLIT,2024-03-25,83,pop
1yqdD2ScjkqvaNBUzPQ4vR,Who,Jimin,2024-07-23,87,pop
5wPnPIZS8wr4lPNLz4qvHK,Who,Jimin,2024-07-23,87,pop
32lSgbCqRcIOyUSnfuUZEQ,Who,Jimin,2024-07-23,87,pop
2VdSktBqFfkW7y6q5Ik4Z4,Supernova,aespa,2024-05-27,71,pop
5HVq8nS0pbM6G7YK8M7DY4,愛情的大壞蛋,Amazing Show,2024-09-30,59,pop
5eWcGfUCrVFMoYskyfkEPE,Armageddon,aespa,2024-05-27,73,pop
6aJn7Cst74cj4lNIiPRgav,Touch,KATSEYE,2024-07-26,84,pop
1SS0WlKhJewviwEDZ6dWj0,SPOT!,ZICO,2024-04-26,77,pop
4JBZuPALOvU2PC8E7t02vY,如果爱忘了 - Live,Silence Wang,2024-02-27,64,pop
38tXZcL1gZRfbqfOG0VMTH,How Sweet,NewJeans,2024-05-24,77,pop
2vNPGH1x5ZwxTjlvzLCyc2,Fate,(G)I-DLE,2024-01-29,66,pop
1njlnn8ZKHI77Pe9szIONR,SHEESH,BABYMONSTER,2024-04-01,77,pop
72gPDy1zVt95zVNali0IhK,MEOW,MEOVV,2024-09-06,73,pop
294hRgOqnGW2BemqP8D35X,Klaxon,(G)I-DLE,2024-07-08,67,pop
4e1aewX6ATPcdfQIqr7gqO,Sticky,KISS OF LIFE,2024-07-01,76,pop
2HRqTpkrJO5ggZyyK6NPWz,Espresso,Sabrina Carpenter,2024-08-23,89,pop
2O4Bb2WCkjlTPO827OnBMI,EASY,LE SSERAFIM,2024-02-19,75,pop
3yDRcs0Y4pPzkvMbUfeF9H,Moonlit Floor (Kiss Me),LISA,2024-10-03,85,pop
5NykvdFrH8mejmohWZvIWo,這麼多年 - 電影《我想和你在一起》插曲,陳華,2024-06-07,55,pop
1QPV3QoWw3rRKPeYoX8kO8,GGUM,YEONJUN,2024-09-19,77,pop
7GDgpad2BQVuDUzaxHFakc,LIKE THAT,BABYMONSTER,2024-04-01,75,pop
2OzhQlSqBEmt7hmkYxfT6m,Fortnight (feat. Post Malone),Taylor Swift,2024-04-18,84,pop
0WbMK4wrZ1wFSty9F7FCgu,"Good Luck, Babe!",Chappell Roan,2024-04-05,93,pop
5G2f63n7IPVPPjfNIGih7Q,Taste,Sabrina Carpenter,2024-08-23,91,pop
5ocSQW5sIUIOFojwXEz9Ki,Supernatural,NewJeans,2024-06-21,76,pop
6vvPecFTmWxDfEJ6cYT1wa,Rockstar,LISA,2024-06-27,81,pop
0Md02V4hwKO5Vu5B7GD8tQ,FOREVER,BABYMONSTER,2024-07-01,71,pop
145tqlcE6YFsjNfxi9K3AE,"LOVE, MONEY, FAME (feat. DJ Khaled)",SEVENTEEN,2024-10-14,72,pop
2qSkIjg1o9h3YT9RAgYN75,Espresso,Sabrina Carpenter,2024-04-12,89,pop
09keT5ocFhEd5W5HidiUNq,Chk Chk Boom,Stray Kids,2024-07-19,79,pop
0L7R4dmkwk46DEZgqx1fF7,偷偷愛,Amazing Show,2024-09-30,52,pop
67aEhtXw9vYZKgyVLhkblq,手機錢包鑰匙菸 feat.Crowd Lu,Amazing Show,2024-09-30,53,pop
51ZQ1vr10ffzbwIjDCwqm4,we can't be friends (wait for your love),Ariana Grande,2024-03-08,87,pop
6EIMUjQ7Q8Zr2VtIUik4He,drunk text,Henry Moodie,2024-01-26,81,pop
3QaPy1KgI7nu9FJEQUgn6h,WILDFLOWER,Billie Eilish,2024-05-17,93,pop
5qI5EUqfDJpQ7w6sMECK7U,Super Lady,(G)I-DLE,2024-01-29,67,pop
3xkHsmpQCBMytMJNiDf3Ii,Beautiful Things,Benson Boone,2024-04-05,89,pop
7ov3TDp5D00Rnu5R1viX4w,New Woman (feat. ROSALÍA),LISA,2024-08-15,81,pop
1x1oCGsFUDViOvcISuoKW0,Live My Life,aespa,2024-05-27,60,pop
331l3xABO0HMr1Kkyh2LZq,I Don't Wanna Wait,David Guetta,2024-04-05,84,pop
0V2passWyAXnON67kfAj7y,ABCD,NAYEON,2024-06-14,72,pop
5eY7692tmgHB9dbmq6wa2M,晴る,ヨルシカ,2024-01-05,70,pop
4gxEY3Mh5FZZDAJAKPNrCS,CRAZY,LE SSERAFIM,2024-09-02,78,pop
